dst,org,date,lei,lei50mi
35,26,2022-03-01,1340.0,1340.0
35,27,2022-03-01,1806.0,1806.0
35,28,2022-03-01,2003.0,2003.0
35,29,2022-03-01,2771.0,2771.0
35,30,2022-03-01,1141.0,1141.0
35,31,2022-03-01,893.0,893.0
35,32,2022-03-01,14825.0,14825.0
35,33,2022-03-01,161.0,161.0
35,34,2022-03-01,853.0,853.0
35,35,2022-03-01,2691534.0,679802.0
35,36,2022-03-01,2966.0,2966.0
35,37,2022-03-01,1480.0,1480.0
35,38,2022-03-01,196.0,196.0
35,39,2022-03-01,1059.0,1059.0
35,40,2022-03-01,7089.0,6686.0
35,41,2022-03-01,1574.0,1574.0
35,42,2022-03-01,961.0,961.0
35,44,2022-03-01,31.0,31.0
35,45,2022-03-01,264.0,264.0
35,46,2022-03-01,999.0,999.0
35,47,2022-03-01,3073.0,3073.0
35,48,2022-03-01,1321819.0,261157.0
35,49,2022-03-01,12549.0,12431.0
35,50,2022-03-01,56.0,56.0
35,51,2022-03-01,1608.0,1608.0
35,53,2022-03-01,4064.0,4064.0
35,54,2022-03-01,6.0,6.0
35,55,2022-03-01,948.0,948.0
35,56,2022-03-01,521.0,521.0
35,1,2022-04-01,1059.0,1059.0
35,2,2022-04-01,393.0,393.0
35,4,2022-04-01,174200.0,94541.0
35,5,2022-04-01,1222.0,1222.0
35,6,2022-04-01,28330.0,28330.0
35,8,2022-04-01,120745.0,71476.0
35,9,2022-04-01,140.0,140.0
35,10,2022-04-01,36.0,36.0
35,11,2022-04-01,30.0,30.0
35,12,2022-04-01,5307.0,5307.0
35,13,2022-04-01,4923.0,4923.0
35,15,2022-04-01,985.0,985.0
35,16,2022-04-01,948.0,948.0
35,17,2022-04-01,5332.0,5332.0
35,18,2022-04-01,1120.0,1120.0
35,19,2022-04-01,804.0,804.0
35,20,2022-04-01,2657.0,2657.0
35,21,2022-04-01,681.0,681.0
35,22,2022-04-01,2397.0,2397.0
35,23,2022-04-01,33.0,33.0
35,24,2022-04-01,463.0,463.0
35,25,2022-04-01,386.0,386.0
35,26,2022-04-01,508.0,508.0
35,27,2022-04-01,1287.0,1287.0
35,28,2022-04-01,1387.0,1387.0
35,29,2022-04-01,2551.0,2551.0
35,30,2022-04-01,172.0,172.0
35,31,2022-04-01,1101.0,1101.0
35,32,2022-04-01,17286.0,17286.0
35,33,2022-04-01,151.0,151.0
35,34,2022-04-01,678.0,678.0
35,35,2022-04-01,2408326.0,882956.0
35,36,2022-04-01,9355.0,9355.0
35,37,2022-04-01,881.0,881.0
35,38,2022-04-01,121.0,121.0
35,39,2022-04-01,718.0,718.0
35,40,2022-04-01,5879.0,5736.0
35,41,2022-04-01,2792.0,2792.0
35,42,2022-04-01,1312.0,1312.0
35,44,2022-04-01,47.0,47.0
35,45,2022-04-01,1044.0,1044.0
35,46,2022-04-01,272.0,272.0
35,47,2022-04-01,1436.0,1436.0
35,48,2022-04-01,1113615.0,295589.0
35,49,2022-04-01,8017.0,7967.0
35,50,2022-04-01,0.0,0.0
35,51,2022-04-01,3044.0,3044.0
35,53,2022-04-01,4563.0,4563.0
35,54,2022-04-01,25.0,25.0
35,55,2022-04-01,1306.0,1306.0
35,56,2022-04-01,376.0,376.0
35,1,2022-05-01,950.0,950.0
35,2,2022-05-01,0.0,0.0
35,4,2022-05-01,214309.0,145612.0
35,5,2022-05-01,2292.0,2292.0
35,6,2022-05-01,41004.0,41004.0
35,8,2022-05-01,162062.0,99819.0
35,9,2022-05-01,587.0,587.0
35,10,2022-05-01,32.0,32.0
35,11,2022-05-01,117.0,117.0
35,12,2022-05-01,7862.0,7862.0
35,13,2022-05-01,5574.0,5574.0
35,15,2022-05-01,0.0,0.0
35,16,2022-05-01,1028.0,1028.0
35,17,2022-05-01,6861.0,6861.0
35,18,2022-05-01,1213.0,1213.0
35,19,2022-05-01,805.0,805.0
35,20,2022-05-01,3927.0,3927.0
35,21,2022-05-01,1258.0,1258.0
35,22,2022-05-01,4254.0,4254.0
35,23,2022-05-01,88.0,88.0
35,24,2022-05-01,2867.0,2867.0
35,25,2022-05-01,1042.0,1042.0
35,26,2022-05-01,757.0,757.0
35,27,2022-05-01,3179.0,3179.0
35,28,2022-05-01,1535.0,1535.0
35,29,2022-05-01,3486.0,3486.0
35,30,2022-05-01,765.0,765.0
35,31,2022-05-01,1079.0,1079.0
35,32,2022-05-01,17619.0,17619.0
35,33,2022-05-01,905.0,905.0
35,34,2022-05-01,839.0,839.0
35,35,2022-05-01,3177747.0,1525815.0
