dst,org,date,lei,lei50mi
4,41,2022-01-01,7487.0,7487.0
4,42,2022-01-01,4900.0,4900.0
4,44,2022-01-01,144.0,144.0
4,45,2022-01-01,1115.0,1115.0
4,46,2022-01-01,2685.0,2685.0
4,47,2022-01-01,4447.0,4447.0
4,48,2022-01-01,37949.0,37949.0
4,49,2022-01-01,12468.0,12468.0
4,50,2022-01-01,40.0,40.0
4,51,2022-01-01,2164.0,2164.0
4,53,2022-01-01,17505.0,17505.0
4,54,2022-01-01,228.0,228.0
4,55,2022-01-01,9706.0,9706.0
4,56,2022-01-01,1422.0,1422.0
5,1,2022-01-01,8370.0,8370.0
5,2,2022-01-01,48.0,48.0
5,4,2022-01-01,2834.0,2834.0
5,5,2022-01-01,1385107.0,334291.0
5,6,2022-01-01,4920.0,4920.0
5,8,2022-01-01,5505.0,5505.0
5,9,2022-01-01,184.0,184.0
5,10,2022-01-01,140.0,140.0
5,11,2022-01-01,144.0,144.0
5,12,2022-01-01,16049.0,16049.0
5,13,2022-01-01,5797.0,5797.0
5,15,2022-01-01,172.0,172.0
5,16,2022-01-01,476.0,476.0
5,17,2022-01-01,13297.0,11711.0
5,18,2022-01-01,5595.0,5595.0
5,19,2022-01-01,2814.0,2138.0
5,20,2022-01-01,7432.0,5056.0
5,21,2022-01-01,4419.0,4419.0
5,22,2022-01-01,32225.0,13819.0
5,23,2022-01-01,88.0,88.0
5,24,2022-01-01,584.0,584.0
5,25,2022-01-01,668.0,668.0
5,26,2022-01-01,2747.0,2747.0
5,27,2022-01-01,1230.0,1114.0
5,28,2022-01-01,32835.0,21981.0
5,29,2022-01-01,82492.0,42846.0
5,30,2022-01-01,352.0,352.0
5,31,2022-01-01,1659.0,1659.0
5,32,2022-01-01,4537.0,4537.0
5,33,2022-01-01,4.0,4.0
5,34,2022-01-01,440.0,440.0
5,35,2022-01-01,1519.0,1519.0
5,36,2022-01-01,1200.0,1200.0
5,37,2022-01-01,2408.0,2408.0
5,38,2022-01-01,192.0,192.0
5,39,2022-01-01,3968.0,3968.0
5,40,2022-01-01,88381.0,49543.0
5,41,2022-01-01,448.0,448.0
5,42,2022-01-01,1185.0,1185.0
5,44,2022-01-01,8.0,8.0
5,45,2022-01-01,2112.0,2112.0
5,46,2022-01-01,204.0,204.0
5,47,2022-01-01,44450.0,30522.0
5,48,2022-01-01,110444.0,74139.0
5,49,2022-01-01,839.0,839.0
5,50,2022-01-01,8.0,8.0
5,51,2022-01-01,1626.0,1626.0
5,53,2022-01-01,804.0,804.0
5,54,2022-01-01,476.0,476.0
5,55,2022-01-01,1773.0,1625.0
5,56,2022-01-01,308.0,308.0
6,1,2022-01-01,4282.0,4282.0
6,2,2022-01-01,1577.0,1577.0
6,4,2022-01-01,97776.0,92790.0
6,5,2022-01-01,3454.0,3454.0
6,6,2022-01-01,3986492.0,1215599.0
6,8,2022-01-01,20334.0,20334.0
